act_WValidateapplication_avg_arrival_1D,act_WValidateapplication_avg_duration_1D,act_WValidateapplication_whole_duration_1D,act_WValidateapplication_avgwaiting_time_1D,act_WValidateapplication_wholewaiting_time_1D,act_WValidateapplication_waiting_events_1D,act_WValidateapplication_finished_events_1D,act_WValidateapplication_idle_time_1D,act_WValidateapplication_inprocess_events_1D,act_WValidateapplication_unique_resources_1D,act_WValidateapplication_engaged_resources_1D
47,17.299722222222222,23.896944444444443,0.38857565011820333,18.263055555555557,9,5,6.307222222222222,38,10,43
51,0.9166666666666666,20.000833333333333,0.5295969498910675,27.009444444444444,11,9,1.1880555555555556,39,12,48
83,9.311388888888889,4.863333333333333,0.2503748326639893,20.781111111111112,7,12,14.324444444444444,71,12,83
54,2.1983333333333333,16.127777777777776,0.21716049382716046,11.726666666666665,6,16,22.84138888888889,35,10,51
67,18.645833333333332,17.350833333333334,0.6452280265339967,43.23027777777778,11,14,5.9025,50,10,64
13,6.015555555555555,6.2025,0.0,0.0,0,0,17.34,13,4,13
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
58,14.493333333333334,19.630555555555556,0.2641139846743295,15.318611111111112,5,9,8.932222222222222,47,9,56
67,17.53472222222222,5.2988888888888885,0.6564427860696518,43.98166666666667,14,9,7.755,57,11,66
90,6.6425,8.54888888888889,0.31345061728395057,28.21055555555555,13,16,16.482777777777777,72,12,88
38,12.094722222222222,3.602222222222222,0.32266812865497074,12.261388888888888,4,11,10.301944444444445,27,10,38
72,21.817777777777778,19.625555555555554,0.5557600308641976,40.014722222222225,13,12,1.8572222222222223,56,11,68
12,22.23777777777778,2.856388888888889,0.0,0.0,0,0,4.3925,12,7,12
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
61,15.145833333333334,20.758055555555554,0.34503187613843356,21.046944444444446,9,10,9.034444444444444,50,10,60
68,1.3577777777777778,14.910555555555556,0.852875816993464,57.995555555555555,13,16,22.33861111111111,48,13,64
87,3.703888888888889,6.545277777777778,0.4962643678160919,43.175,12,13,21.143333333333334,73,11,86
85,23.764722222222222,5.182222222222222,0.8209640522875817,69.78194444444445,17,23,23.66722222222222,57,14,80
58,13.529444444444444,0.12305555555555556,0.5977490421455939,34.669444444444444,8,14,9.074722222222222,41,13,55
6,18.64527777777778,15.872222222222222,0.0,0.0,0,2,21.198888888888888,4,6,6
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
54,20.607777777777777,18.996944444444445,0.5381172839506173,29.058333333333334,10,14,3.9725,37,10,51
51,12.2575,12.887777777777778,0.36620915032679735,18.676666666666666,8,12,12.510833333333334,38,10,50
81,5.907222222222222,4.784166666666667,0.5339471879286694,43.24972222222222,16,18,18.960555555555555,60,12,78
66,4.6325,3.861388888888889,0.5527188552188551,36.47944444444444,10,12,18.519444444444446,51,11,63
53,19.2275,11.061388888888889,0.2727148846960168,14.453888888888889,4,4,4.881111111111111,49,8,53
14,11.662222222222223,19.274166666666666,0.42827380952380956,5.995833333333334,2,0,11.230555555555556,14,7,14
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
63,2.9319444444444445,7.921944444444445,0.29690476190476195,18.705000000000002,9,13,21.961944444444445,47,10,60
54,10.59,9.272222222222222,0.4181378600823045,22.579444444444444,7,6,12.870555555555555,47,11,53
85,13.115,8.5675,0.35091176470588237,29.8275,8,13,10.228055555555555,70,15,83
59,4.903611111111111,15.519166666666667,0.4262994350282486,25.151666666666667,8,9,18.157222222222224,48,14,57
68,21.07027777777778,22.641111111111112,0.8590563725490196,58.41583333333333,16,17,3.3577777777777778,49,11,66
18,23.265,10.7725,0.0,0.0,0,2,20.765555555555554,16,9,18
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
55,9.948611111111111,23.278333333333332,0.15479292929292932,8.513611111111112,8,11,14.306944444444444,42,12,53
80,0.23555555555555555,17.66861111111111,0.9591944444444443,76.73555555555555,18,16,23.76527777777778,59,11,75
115,19.56222222222222,22.123333333333335,0.16796618357487925,19.316111111111113,11,18,4.3341666666666665,96,13,114
79,18.42111111111111,2.428611111111111,0.47413150492264416,37.45638888888889,10,20,5.999444444444444,57,14,77
80,10.926388888888889,14.424166666666666,0.666048611111111,53.28388888888888,14,15,13.572777777777778,61,11,76
15,10.638333333333334,15.575833333333334,0.011037037037037038,0.16555555555555557,1,2,7.9225,13,7,15
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
69,5.3741666666666665,13.323611111111111,0.326610305958132,22.536111111111108,11,12,18.184722222222224,53,12,65
53,12.178055555555556,8.549444444444445,0.9055136268343816,47.992222222222225,13,12,11.304166666666667,36,11,48
103,18.441666666666666,14.633611111111112,0.3349244875943905,34.49722222222222,12,13,6.131111111111111,88,12,101
51,12.796944444444444,15.855,0.7132135076252722,36.373888888888885,10,9,9.482777777777779,41,11,50
57,17.49111111111111,19.516944444444444,0.9594249512670564,54.68722222222222,14,15,6.271111111111111,41,8,56
14,23.856666666666666,21.99361111111111,0.0,0.0,0,2,0.46194444444444444,12,8,14
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
47,13.643055555555556,17.22833333333333,0.012251773049645389,0.5758333333333333,1,13,10.104444444444445,34,11,47
43,9.599166666666667,23.974166666666665,0.398656330749354,17.142222222222223,7,11,14.39638888888889,29,12,40
120,8.65,8.83,0.1392037037037037,16.704444444444444,9,14,15.926666666666666,98,12,112
64,3.135,23.237222222222222,0.4076258680555555,26.088055555555552,9,11,21.256944444444443,50,12,61
52,13.094444444444445,19.819444444444443,0.3424893162393162,17.809444444444445,6,8,10.143055555555556,43,13,51
14,7.221666666666667,5.103611111111111,0.0,0.0,0,0,12.432222222222222,14,3,14
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
10,23.036666666666665,14.367777777777778,1.5313333333333332,15.313333333333333,7,4,1.4855555555555555,6,6,10
81,7.315555555555555,18.61777777777778,0.22181412894375857,17.966944444444444,7,11,16.072222222222223,67,14,78
56,10.093055555555555,3.123611111111111,0.36729662698412696,20.56861111111111,10,20,13.761388888888888,35,10,55
65,6.859444444444445,7.0183333333333335,0.8431153846153846,54.8025,14,16,17.13361111111111,48,10,64
63,3.1638888888888888,18.676666666666666,0.7046119929453261,44.390555555555544,13,21,20.85861111111111,38,12,59
19,4.783055555555555,18.879166666666666,0.0,0.0,0,1,19.05611111111111,18,7,19
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
70,15.028611111111111,7.902222222222222,0.08000793650793651,5.600555555555556,8,15,8.502222222222223,51,13,66
56,7.841666666666667,23.29277777777778,0.8526289682539684,47.74722222222223,15,9,16.013055555555557,46,15,55
86,5.8372222222222225,23.324166666666667,0.5039470284237726,43.33944444444444,15,26,18.181944444444444,52,13,78
59,15.751944444444444,17.378055555555555,0.44254237288135595,26.11,6,10,9.260833333333334,49,8,59
58,14.839722222222223,5.874722222222222,0.18526819923371649,10.745555555555557,7,7,8.938611111111111,50,11,57
19,16.282222222222224,21.364166666666666,0.1844590643274854,3.5047222222222225,2,2,6.764722222222222,17,6,19
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
60,8.165555555555555,1.2852777777777777,0.29940740740740746,17.964444444444446,11,15,15.394722222222223,41,10,56
43,10.563888888888888,11.683333333333334,0.41346899224806205,17.77916666666667,4,5,13.185555555555556,37,9,42
93,20.110277777777778,9.938888888888888,0.4512783751493428,41.968888888888884,10,18,3.6661111111111113,72,12,90
64,19.314166666666665,6.859166666666667,0.20632812500000003,13.205000000000002,8,18,3.686111111111111,42,9,60
39,15.777777777777779,15.335833333333333,0.12826210826210824,5.002222222222222,2,1,7.839444444444444,38,10,39
8,22.997222222222224,15.979444444444445,0.0,0.0,0,0,1.8116666666666668,8,2,8
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
67,3.3966666666666665,8.188055555555556,0.308714759535655,20.683888888888887,8,5,20.211111111111112,61,10,66
64,14.159444444444444,13.89611111111111,0.6403776041666667,40.98416666666667,9,11,10.01361111111111,51,9,62
85,10.631666666666666,7.8180555555555555,0.2970980392156862,25.25333333333333,7,8,13.357777777777779,74,11,82
68,14.648333333333333,1.5075,0.6447263071895426,43.84138888888889,15,16,9.924722222222222,48,12,64
61,0.31722222222222224,18.71611111111111,0.21930327868852462,13.377500000000001,8,14,0.6091666666666666,45,11,59
7,14.7325,7.128055555555555,0.0,0.0,0,0,7.879166666666666,7,3,7
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
49,5.4158333333333335,14.546944444444444,0.21198412698412694,10.38722222222222,7,10,17.982777777777777,37,9,47
44,6.611944444444444,20.3225,0.4279419191919192,18.829444444444444,6,8,16.761388888888888,35,10,43
9,6.811388888888889,13.302777777777777,0.0,0.0,0,1,19.331666666666667,8,6,9
71,21.729166666666668,4.501388888888889,0.04949139280125195,3.5138888888888884,6,10,2.9633333333333334,62,11,72
63,16.031111111111112,1.9769444444444444,0.74347442680776,46.83888888888888,14,19,8.098611111111111,44,9,63
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
84,14.3625,11.381944444444445,0.39755291005291005,33.394444444444446,11,15,9.538055555555555,66,11,81
57,22.038888888888888,12.15,0.45945419103313845,26.18888888888889,9,14,2.123611111111111,41,10,55
91,3.7625,22.883055555555554,0.12562271062271063,11.431666666666667,8,11,21.36111111111111,78,12,89
10,14.553333333333333,1.5352777777777777,0.0,0.0,0,0,12.571111111111112,10,5,10
55,10.544444444444444,17.40361111111111,0.30457575757575756,16.751666666666665,6,10,13.26361111111111,44,12,54
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
45,18.240277777777777,4.823611111111111,0.0012901234567901235,0.058055555555555555,1,8,5.317222222222222,37,10,45
95,3.901111111111111,15.124722222222223,0.3658801169590643,34.75861111111111,15,28,20.05027777777778,62,11,90
103,20.648333333333333,4.210277777777778,0.2784600862998921,28.68138888888889,13,24,3.1725,75,14,99
80,1.8444444444444446,22.024722222222223,0.35379166666666667,28.303333333333335,9,16,21.564722222222223,61,10,77
74,19.914166666666667,9.656944444444445,0.4449024024024025,32.92277777777778,16,19,4.178333333333334,55,12,74
24,12.725277777777778,4.686111111111111,6.944444444444444e-05,0.0016666666666666666,2,3,11.810833333333333,20,9,23
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
4,9.30888888888889,13.23638888888889,0.0,0.0,0,0,10.108611111111111,4,4,4
94,0.01611111111111111,1.4975,0.24994089834515365,23.494444444444444,10,10,0.25,82,15,92
53,5.229444444444445,16.250555555555554,0.4802044025157233,25.450833333333335,19,15,18.683333333333334,34,11,49
52,4.333333333333333,13.676666666666666,0.25216880341880343,13.112777777777778,4,12,19.118055555555557,41,13,53
65,18.600277777777777,12.031666666666666,0.6353504273504275,41.29777777777778,11,19,5.967777777777778,41,11,60
9,11.792222222222222,10.131388888888889,0.0,0.0,0,0,10.9,9,5,9
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
67,3.4547222222222222,15.471111111111112,0.07421641791044775,4.972499999999999,5,15,20.519444444444446,52,11,67
69,1.3269444444444445,14.257222222222222,0.9766384863123994,67.38805555555555,15,20,22.67888888888889,45,11,65
95,12.644444444444444,10.004722222222222,0.6660233918128654,63.27222222222222,20,30,11.040555555555555,60,11,90
49,20.836388888888887,19.320833333333333,0.8934523809523809,43.77916666666666,17,29,4.831944444444445,18,13,47
71,3.2730555555555556,3.303611111111111,0.4611228482003131,32.73972222222223,12,21,21.032222222222224,46,13,67
3,19.906388888888888,11.719166666666666,0.0,0.0,0,0,4.416944444444445,3,2,3
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
53,13.158333333333333,23.0775,0.339685534591195,18.003333333333334,7,27,11.111944444444445,24,8,51
68,7.070833333333334,13.467222222222222,0.40265931372549024,27.380833333333335,11,53,17.217222222222222,10,13,63
96,7.920833333333333,8.973055555555556,0.3014178240740741,28.93611111111111,13,41,15.818055555555556,48,12,89
59,1.5625,18.64027777777778,0.5682815442561205,33.52861111111111,10,21,22.460277777777776,37,9,58
66,23.319166666666668,5.11,0.7283922558922558,48.07388888888888,12,22,1.1027777777777779,41,9,63
14,17.198333333333334,0.7783333333333333,0.017242063492063493,0.24138888888888888,1,2,7.4,12,7,14
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
81,0.8069444444444445,10.105555555555556,1.1307921810699588,91.59416666666667,20,40,23.263055555555557,32,15,72
76,12.665833333333333,12.606666666666667,0.22834429824561406,17.354166666666668,7,37,11.498888888888889,36,14,73
85,3.9683333333333333,5.4875,0.3049803921568628,25.923333333333336,10,18,21.29222222222222,62,11,80
70,5.839444444444444,7.256944444444445,0.5355198412698413,37.48638888888889,9,15,19.531944444444445,52,12,67
71,7.203888888888889,17.07027777777778,0.2831807511737089,20.105833333333333,8,12,16.77722222222222,57,10,69
1,23.70861111111111,23.70861111111111,0.0,0.0,0,0,0.0,1,1,1
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
69,5.276944444444444,4.126388888888889,0.2588083735909823,17.857777777777777,7,19,18.72888888888889,50,8,69
62,9.800833333333333,2.2552777777777777,0.8319578853046595,51.58138888888889,10,9,14.178055555555556,50,8,59
103,23.834722222222222,7.491944444444444,0.32047464940668824,33.00888888888889,13,17,23.96388888888889,83,11,100
83,9.933055555555555,12.593055555555555,0.4742101740294512,39.35944444444445,12,13,13.350555555555555,68,12,81
85,1.198611111111111,1.0980555555555556,0.61059477124183,51.900555555555556,12,12,22.24,69,10,81
22,1.7652777777777777,14.840833333333334,0.00016414141414141414,0.003611111111111111,1,5,1.6127777777777779,17,9,22
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
77,20.485555555555557,14.482222222222223,0.7850685425685426,60.450277777777785,15,17,3.5455555555555556,54,12,71
63,22.8475,1.7047222222222222,0.36237654320987656,22.829722222222223,10,12,0.8063888888888889,49,11,61
102,6.095277777777778,9.528611111111111,0.7262145969498911,74.07388888888889,17,13,17.85333333333333,87,10,100
86,13.665277777777778,9.551666666666666,0.3893798449612403,33.486666666666665,12,15,9.910555555555556,70,12,85
112,20.842222222222222,9.499722222222223,0.486827876984127,54.52472222222222,15,18,3.0033333333333334,93,10,111
9,11.659444444444444,8.936111111111112,0.0,0.0,0,0,10.946944444444444,9,5,9
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
80,0.4772222222222222,14.196111111111112,0.4881979166666667,39.05583333333333,11,12,1.3497222222222223,68,10,80
92,14.966944444444444,21.11138888888889,0.5414643719806764,49.81472222222223,17,12,8.905,76,11,88
115,6.413611111111111,17.595555555555556,0.12305314009661836,14.151111111111112,6,13,16.926666666666666,102,13,115
79,23.683888888888887,23.993055555555557,0.41806610407876227,33.02722222222222,13,13,23.075,63,13,76
90,3.1744444444444446,15.365277777777777,0.48434876543209876,43.591388888888886,15,14,20.29111111111111,74,13,88
9,23.394444444444446,18.551388888888887,0.0,0.0,0,0,21.50777777777778,9,6,9
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
86,22.679444444444446,11.716944444444444,0.7578682170542635,65.17666666666666,18,14,0.7361111111111112,68,11,82
82,14.793888888888889,22.310555555555556,0.5940210027100271,48.709722222222226,11,6,8.117222222222223,75,15,81
104,11.821111111111112,5.411666666666667,0.2556784188034188,26.590555555555554,6,11,11.111944444444445,93,17,104
87,19.094444444444445,10.142777777777777,0.3892688378033205,33.866388888888885,10,18,4.184722222222222,68,18,86
117,8.587777777777777,10.431111111111111,0.4152967711301045,48.58972222222223,14,28,15.142777777777777,85,15,113
8,14.154444444444444,17.235555555555557,0.008194444444444445,0.06555555555555556,1,2,4.321944444444444,6,6,8
5,23.941388888888888,23.70777777777778,0.0,0.0,0,0,23.135833333333334,5,5,5
67,20.736666666666668,16.94527777777778,0.8163847429519072,54.69777777777778,18,11,2.897222222222222,50,14,61
70,12.326666666666666,10.556666666666667,0.710547619047619,49.73833333333333,12,15,10.831111111111111,54,16,69
101,1.6408333333333334,16.822777777777777,0.30123487348734873,30.424722222222222,11,18,21.601944444444445,80,17,98
63,9.563888888888888,17.146944444444443,0.9396649029982364,59.19888888888889,19,23,16.465555555555557,34,15,57
68,15.931111111111111,19.470833333333335,0.12417075163398691,8.44361111111111,5,23,6.125277777777778,43,17,66
4,21.912777777777777,15.651944444444444,0.0,0.0,0,0,18.71388888888889,4,3,4
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
46,21.156388888888888,13.205277777777777,0.3314613526570048,15.247222222222222,3,2,3.033611111111111,44,10,46
49,14.875,8.879166666666666,0.0,0.0,0,8,7.476944444444444,41,12,49
38,12.380277777777778,14.454444444444444,0.0,0.0,0,6,10.851944444444445,32,13,38
59,15.8925,10.098611111111111,0.3242984934086629,19.13361111111111,9,33,7.860277777777778,22,15,55
58,7.954166666666667,13.447777777777778,0.20012452107279693,11.607222222222223,4,40,18.210833333333333,16,13,56
4,22.98638888888889,19.94638888888889,0.0,0.0,0,0,1.3319444444444444,4,3,4
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
60,22.830833333333334,3.0305555555555554,0.1932824074074074,11.596944444444444,3,21,0.3786111111111111,38,13,59
39,19.64527777777778,6.885,0.24092592592592593,9.39611111111111,7,20,4.501388888888889,17,14,37
74,23.8325,12.285,0.18833333333333332,13.936666666666666,7,39,23.241944444444446,31,19,70
45,14.303055555555556,15.040833333333333,0.28142592592592597,12.664166666666668,5,21,8.79888888888889,22,12,43
66,7.224166666666667,6.360277777777778,0.1097811447811448,7.245555555555557,3,41,18.27166666666667,23,12,64
6,20.781944444444445,4.6930555555555555,0.0,0.0,0,3,8.022777777777778,3,5,6
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
49,12.320833333333333,3.089722222222222,0.08793083900226759,4.308611111111111,3,25,13.663055555555555,22,12,47
55,23.931944444444444,20.26888888888889,0.031752525252525254,1.746388888888889,3,44,23.76972222222222,11,12,55
45,3.4497222222222224,7.795555555555556,0.019012345679012346,0.8555555555555555,1,28,23.960833333333333,16,9,44
43,0.7136111111111111,6.687222222222222,0.3312209302325581,14.2425,2,29,21.723055555555554,14,13,43
48,4.510833333333333,10.991388888888888,0.2458738425925926,11.801944444444445,3,26,21.586944444444445,19,10,45
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
41,2.908333333333333,23.248333333333335,0.0,0.0,0,25,1.3622222222222222,16,10,41
28,15.153333333333334,16.300555555555555,0.18026785714285712,5.047499999999999,3,18,7.726111111111111,10,11,28
49,7.947777777777778,13.551944444444445,0.10375283446712018,5.083888888888889,2,36,15.533888888888889,11,15,47
51,17.235555555555557,18.080277777777777,0.18913943355119825,9.64611111111111,6,32,8.095,15,11,47
27,10.082777777777778,8.241388888888888,0.0,0.0,0,19,21.181944444444444,8,9,27
2,20.430555555555557,16.86111111111111,0.0,0.0,0,1,2.8519444444444444,1,2,2
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
46,9.768888888888888,7.61,0.17695652173913046,8.14,2,37,18.54277777777778,8,13,45
32,20.815833333333334,18.10972222222222,0.15592881944444445,4.989722222222222,1,23,2.7619444444444445,9,10,32
83,15.45138888888889,12.1275,0.3050669344042838,25.320555555555554,7,62,8.4675,18,15,80
45,22.705555555555556,16.34722222222222,0.37458024691358016,16.856111111111108,5,24,23.76638888888889,19,11,43
47,10.189166666666667,22.9,0.12219267139479904,5.743055555555555,3,20,10.63111111111111,27,14,47
9,19.494722222222222,7.454722222222222,0.0,0.0,0,4,17.749444444444446,5,5,9
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
32,0.4177777777777778,13.369722222222222,0.00013020833333333333,0.004166666666666667,1,23,22.274166666666666,9,10,32
37,8.644722222222223,7.8625,3.7537537537537536e-05,0.001388888888888889,1,21,13.305,16,11,37
44,23.910833333333333,20.166666666666668,0.23551136363636366,10.3625,2,30,1.8441666666666667,13,11,43
45,6.057777777777778,20.486944444444443,0.21223456790123454,9.550555555555555,3,24,19.006944444444443,19,10,43
37,15.253333333333334,5.868333333333333,0.21648648648648647,8.01,6,20,9.199722222222222,15,11,35
8,13.84,0.8802777777777778,0.43447916666666664,3.475833333333333,2,4,0.42944444444444446,3,4,7
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
19,23.175555555555555,8.33611111111111,0.04514619883040936,0.8577777777777778,4,12,22.641944444444444,7,12,19
78,10.09361111111111,16.851944444444445,0.15142450142450142,11.81111111111111,6,50,13.535555555555556,23,15,73
58,13.36111111111111,4.235277777777778,0.32142241379310343,18.6425,4,30,10.1125,26,11,56
90,23.39527777777778,18.805,0.14466666666666667,13.02,5,43,0.08388888888888889,45,15,88
53,11.056666666666667,11.899444444444445,0.04633647798742138,2.455833333333333,4,24,14.146944444444445,27,12,51
10,21.009722222222223,18.09861111111111,0.0,0.0,0,1,6.532222222222222,9,6,10
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
45,11.175833333333333,11.7475,0.10010493827160495,4.504722222222223,2,26,14.295833333333333,18,12,44
54,1.7180555555555554,20.779166666666665,0.2585802469135803,13.963333333333335,3,26,22.727222222222224,28,13,54
88,23.725277777777777,23.82638888888889,0.07755366161616162,6.824722222222222,4,44,1.4125,44,18,88
66,8.733611111111111,0.43166666666666664,0.0890614478114478,5.878055555555555,1,34,15.943888888888889,32,13,66
55,16.93722222222222,2.622777777777778,0.06353535353535354,3.4944444444444445,2,26,14.027777777777779,28,12,54
7,2.901666666666667,20.31277777777778,0.0,0.0,0,2,0.45166666666666666,5,4,7
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
78,22.456666666666667,4.252222222222223,0.2722792022792023,21.23777777777778,5,41,1.0625,34,13,75
40,21.616944444444446,0.6794444444444444,0.1897222222222222,7.588888888888889,2,18,1.8280555555555555,22,12,40
94,14.715833333333334,15.295,0.0017730496453900709,0.16666666666666666,2,51,8.70138888888889,43,17,94
55,0.1,5.507777777777778,0.13363636363636364,7.3500000000000005,3,34,1.7322222222222223,21,14,55
53,15.675833333333333,23.1525,0.13835429769392033,7.332777777777777,4,26,8.054444444444444,26,12,52
11,16.09861111111111,9.087222222222222,0.24166666666666667,2.658333333333333,1,2,3.671666666666667,9,5,11
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
55,0.021666666666666667,1.131388888888889,0.34691414141414145,19.08027777777778,6,29,22.699166666666667,23,11,52
63,2.7044444444444444,23.679444444444446,0.11825396825396824,7.449999999999999,6,20,21.33138888888889,42,11,62
79,3.477222222222222,10.718333333333334,7.735583684950773e-05,0.006111111111111111,2,41,19.665555555555557,38,14,79
57,4.261388888888889,22.65277777777778,0.025594541910331385,1.458888888888889,2,20,7.498333333333333,36,13,56
46,11.183055555555555,0.8783333333333333,0.2992512077294686,13.765555555555556,8,19,12.685555555555556,24,12,43
1,22.759444444444444,22.759444444444444,0.0,0.0,0,0,0.0,1,1,1
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
53,13.376388888888888,10.20111111111111,0.19865828092243187,10.52888888888889,4,28,10.405,23,12,51
43,23.96361111111111,22.55027777777778,0.5513307493540052,23.70722222222222,7,16,1.3908333333333334,24,12,40
87,9.567222222222222,11.65638888888889,0.08899425287356323,7.742500000000001,4,43,13.83611111111111,41,13,84
48,10.379166666666666,18.20138888888889,0.5875462962962962,28.20222222222222,10,22,12.558055555555555,26,14,48
61,2.4516666666666667,22.211388888888887,0.30817395264116576,18.79861111111111,6,26,20.399722222222223,32,13,58
8,2.566666666666667,20.53527777777778,0.36097222222222225,2.887777777777778,3,1,17.29277777777778,7,6,8
3,0.023333333333333334,0.07055555555555555,0.00037037037037037035,0.0011111111111111111,2,3,0.6027777777777777,0,2,3
50,8.710555555555555,3.5391666666666666,0.11341111111111112,5.670555555555556,2,25,17.70638888888889,25,13,50
49,13.686388888888889,22.64,0.20666666666666667,10.126666666666667,4,21,9.636111111111111,28,12,49
88,16.575833333333332,2.1172222222222223,0.1950284090909091,17.1625,7,50,7.319166666666667,37,16,87
46,10.2425,8.429444444444444,0.23923309178743962,11.004722222222222,5,28,13.106111111111112,15,13,43
44,20.738888888888887,0.52,0.19404040404040404,8.537777777777778,2,27,2.3802777777777777,17,14,44
5,19.23638888888889,0.1825,0.0,0.0,0,4,1.4236111111111112,1,2,5
0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
